chrom	length	bases	mean	min	max
chr1	438509360	7083566067	16.15	0	3366
chr2	364343143	5833805935	16.01	0	7852
chr3	266229956	4240560895	15.93	0	3244
chr4	220577908	3497856978	15.86	0	5054
chr5	145831796	2242956431	15.38	0	966
chr6	103347851	1551171801	15.01	0	871
chr7	30195766	475635387	15.75	0	2145
chr8	25616936	421240492	16.44	0	7905
chr9	25286039	397245798	15.71	0	2657
chr10	24430297	413555190	16.93	0	19284
chr11	22723820	360451833	15.86	0	1635
chr12	22329172	361588873	16.19	0	20946
chr13	19757143	299057575	15.14	0	192
chr14	11916412	155853633	13.08	0	2377
chr15	7845892	97983468	12.49	0	154
chr16	4331440	43682576	10.09	0	3012
chrZ	173016623	1880822389	10.87	0	7051
total	1906289554	29357035321	15.40	0	20946
