chrom	length	bases	mean	min	max
chr1	438509360	7654411605	17.46	0	3525
chr2	364343143	6358699618	17.45	0	9547
chr3	266229956	4579204241	17.20	0	5703
chr4	220577908	3790199688	17.18	0	4928
chr5	145831796	2413788336	16.55	0	1286
chr6	103347851	1689995204	16.35	0	1182
chr7	30195766	525111838	17.39	0	2044
chr8	25616936	471738058	18.42	0	9008
chr9	25286039	437938417	17.32	0	2887
chr10	24430297	475302997	19.46	0	13766
chr11	22723820	402390508	17.71	0	2381
chr12	22329172	394018876	17.65	0	14792
chr13	19757143	336307577	17.02	0	429
chr14	11916412	180482667	15.15	0	2078
chr15	7845892	115692474	14.75	0	186
chr16	4331440	47998253	11.08	0	3739
chrZ	173016623	2027071446	11.72	0	7694
total	1906289554	31900351803	16.73	0	14792
