chrom	length	bases	mean	min	max
chr1	439018779	8597889180	19.58	0	3305
chr2	375143852	7291887309	19.44	0	10628
chr3	267871518	5187492486	19.37	0	3783
chr4	220543031	4255248305	19.29	0	12456
chr5	146002398	2784223939	19.07	0	1406
chr6	106234579	1987875616	18.71	0	2653
chr7	30861697	588115798	19.06	0	715
chr8	25217042	485121024	19.24	0	1455
chr9	30079015	584864838	19.44	0	2895
chr10	23601959	528255074	22.38	0	1504
chr11	26597827	490334090	18.44	0	463
chr12	16702216	315210077	18.87	0	6077
chr13	19555937	370993745	18.97	0	604
chr14	11861178	207363742	17.48	0	991
chr15	11548905	481684066	41.71	0	2639
chrZ	168707545	3359915236	19.92	0	1814
total	1919547478	37516474525	19.54	0	12456
