comparison	chromosome	start	end	fst	zfst	dxy	top1_dxy	bottom1_dxy	top1_fst	bottom1_fst	profile
HCU-HEL	chr1	950001	1000000	0.2538091122983859	-2.13849483667678	0.0124559985882396	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	1000001	1050000	0.2310593162193343	-2.3083568200703226	0.0127104864268981	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	1100001	1150000	0.2611060196523298	-2.084012275537642	0.0114385427306775	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	1200001	1250000	0.2500074164463158	-2.1668803041969156	0.0119157570668905	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	1250001	1300000	0.237149045939318	-2.262887684216418	0.0122879650393881	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	1300001	1350000	0.2403350889438209	-2.239099005757874	0.0151694840251349	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	1600001	1650000	0.2553896362976146	-2.126693810400448	0.0123439159251528	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	1800001	1850000	0.2459075314491096	-2.1974922092395346	0.0110421351060709	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	45800001	45850000	0.8506816549620901	2.3180705574790754	0.0062886357717559	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	52300001	52350000	0.875571169477236	2.5039088079211562	0.0106932332041343	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Barrier
HCU-HEL	chr1	53050001	53100000	0.9001567932374395	2.687478049613	0.0096719729860106	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	69500001	69550000	0.861071310039596	2.395645205274051	0.0093719786455925	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	105850001	105900000	0.8589407769630565	2.3797375209673866	0.0052307836784523	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	105950001	106000000	0.8425808301228582	2.2575855241392526	0.0073944699917462	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	106950001	107000000	0.8717300791798819	2.475229200682696	0.010570555272542	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Barrier
HCU-HEL	chr1	114250001	114300000	0.8419051442986959	2.252540497192888	0.0054504194520907	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	134700001	134750000	0.1069632164640703	-3.2349237907185655	0.0188951845265175	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	134850001	134900000	0.2253364494287024	-2.3510867636872192	0.0126868386243386	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	134950001	135000000	0.2210666008055028	-2.382967706857287	0.0211217660573369	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	135000001	135050000	0.180122978027176	-2.688674401909718	0.0154541950899911	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Balancing
HCU-HEL	chr1	197100001	197150000	0.8419217902730814	2.2526647848223167	0.0081981823512166	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	201400001	201450000	0.8480794470700231	2.2986411000802973	0.0048717022045536	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	201450001	201500000	0.8497279826303649	2.310949936563991	0.0056620979330164	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	201500001	201550000	0.893472638442053	2.637570622447124	0.0043584971375084	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	201550001	201600000	0.9127443095159136	2.781463089023043	0.0052401955510931	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	211800001	211850000	0.9087946850457332	2.751973108372963	0.0016137845615824	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Recurrent
HCU-HEL	chr1	211850001	211900000	0.9118522291627572	2.7748023463242073	0.0018686151139976	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Recurrent
HCU-HEL	chr1	212150001	212200000	0.8482091376483575	2.29960943838042	0.0026306549480452	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	212200001	212250000	0.923565434500602	2.8622593188468857	0.0023369538263155	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	212250001	212300000	0.8740211591560312	2.4923356128680916	0.002459249069252	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	212300001	212350000	0.957011029919706	3.1119817846626687	0.0030845368525896	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	212450001	212500000	0.8556484169027102	2.3551550232626677	0.0051724634550298	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	212650001	212700000	0.8974329799326392	2.667140622027302	0.0035273917904488	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	212750001	212800000	0.8450248645768582	2.2758339751757375	0.0049881469774792	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	213150001	213200000	0.8976786485390141	2.6689749134904597	0.0026131990710132	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	213250001	213300000	0.8732520831337994	2.486593285417649	0.0031640732666817	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	213450001	213500000	0.9198230183225992	2.8343164646573045	0.0030839464801728	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	213650001	213700000	0.8569604850987588	2.3649516168388898	0.0038023234372118	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	213850001	213900000	0.8879571578300642	2.596389133484955	0.0030754939278593	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214100001	214150000	0.8509844775497448	2.320331590728633	0.003097670188204	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214300001	214350000	0.8452899960849576	2.2778135869344274	0.0027535245870658	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214450001	214500000	0.8616213904412704	2.3997523958497227	0.0024927253590886	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214500001	214550000	0.9067735281711125	2.7368820845114916	0.0031650593324602	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214550001	214600000	0.9123945188511264	2.778851367322909	0.002436056389769	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214600001	214650000	0.9517404144286732	3.0726285879174924	0.0028996296027307	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214650001	214700000	0.9162642243465052	2.807744630731068	0.0038883384016127	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214700001	214750000	0.9060182068277056	2.7312424567519837	0.0049032039901935	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214800001	214850000	0.8592576906333176	2.3821037656760433	0.0029731378038976	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214850001	214900000	0.9099083206649474	2.7602880996106913	0.0029905738585771	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	214950001	215000000	0.9140032536897558	2.7908630306140583	0.0032708090437327	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	215000001	215050000	0.9155557645781066	2.8024548962210725	0.0032625435681283	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	215650001	215700000	0.8841607428556137	2.568043095784032	0.0047044791942751	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
HCU-HEL	chr1	249900001	249950000	0.8565742780577202	2.36206799125546	0.011257013166427	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Barrier
HCU-HEL	chr1	294950001	295000000	0.8514809785005026	2.3240387288480013	0.0084662300061702	0.009950664969784069	0.0022910497016703	0.841703796742164	0.2685990890107925	Allopatric
