FUN_000060-T1:1-303	303	tr|A0A6J1W386|A0A6J1W386_9SAUR	A0A6J1W386	0	300	4	303	1	300	0.0	539	300	93.000	21	0	99
FUN_000060-T1:1-303	303	tr|A0A6P9AYZ1|A0A6P9AYZ1_PANGU	A0A6P9AYZ1	0	355	1	303	53	355	0.0	535	303	85.809	43	0	100
FUN_000060-T1:1-303	303	tr|A0A8C5SI86|A0A8C5SI86_LATLA	A0A8C5SI86	0	590	2	303	289	590	0.0	534	302	93.709	19	0	99
FUN_000060-T1:1-303	303	tr|A0A6J1W6A9|A0A6J1W6A9_9SAUR	A0A6J1W6A9	0	300	4	303	1	300	0.0	530	300	94.000	18	0	99
FUN_000060-T1:1-303	303	tr|A0A6I9Y5C0|A0A6I9Y5C0_9SAUR	A0A6I9Y5C0	0	441	2	303	140	441	0.0	521	302	84.437	47	0	99
FUN_000060-T1:1-303	303	tr|A0A8C6VJ29|A0A8C6VJ29_NAJNA	A0A8C6VJ29	0	321	1	299	14	312	0.0	516	299	81.605	55	0	99
FUN_000060-T1:1-303	303	tr|A0A6P9AVR6|A0A6P9AVR6_PANGU	A0A6P9AVR6	0	634	1	303	332	634	0.0	513	303	81.188	57	0	100
FUN_000060-T1:1-303	303	tr|A0A6J1W3P3|A0A6J1W3P3_9SAUR	A0A6J1W3P3	0	300	4	303	1	300	0.0	503	300	88.667	34	0	99
FUN_000060-T1:1-303	303	tr|A0A6P9AS13|A0A6P9AS13_PANGU	A0A6P9AS13	0	322	1	303	20	322	0.0	502	303	85.149	45	0	100
FUN_000060-T1:1-303	303	tr|A0A8C5S836|A0A8C5S836_LATLA	A0A8C5S836	0	423	1	302	121	422	3.79e-180	503	302	81.788	55	0	99
FUN_000060-T1:1-303	303	tr|A0A6I9YWD2|A0A6I9YWD2_9SAUR	A0A6I9YWD2	0	847	1	303	543	845	2.11e-178	513	303	81.848	55	0	100
FUN_000060-T1:1-303	303	tr|A0A6P9B0W3|A0A6P9B0W3_PANGU	A0A6P9B0W3	0	799	1	302	497	798	3.68e-178	511	302	83.444	50	0	99
FUN_000060-T1:1-303	303	tr|A0A6P9APB3|A0A6P9APB3_PANGU	A0A6P9APB3	0	340	1	300	41	340	2.76e-177	492	300	86.000	42	0	99
FUN_000060-T1:1-303	303	tr|A0A8C6VJU4|A0A8C6VJU4_NAJNA	A0A8C6VJU4	0	713	7	303	417	713	1.47e-175	501	297	84.848	45	0	98
FUN_000060-T1:1-303	303	tr|A0A6I9YKZ3|A0A6I9YKZ3_9SAUR	A0A6I9YKZ3	0	464	1	303	162	464	8.99e-175	490	303	82.838	52	0	100
FUN_000060-T1:1-303	303	tr|A0A6J1VVU1|A0A6J1VVU1_9SAUR	A0A6J1VVU1	0	316	1	302	14	315	2.30e-173	481	302	82.119	54	0	99
FUN_000060-T1:1-303	303	tr|A0A670ZL02|A0A670ZL02_PSETE	A0A670ZL02	0	786	3	303	486	786	2.34e-172	496	301	84.385	47	0	99
