chrom	length	bases	mean	min	max
chr1	434526931	7556378248	17.39	0	1839
chr2	381225800	6074271940	15.93	0	4572
chr3	268276564	4466188051	16.65	0	1504
chr4	218045602	3723689296	17.08	0	2246
chr5	142905876	2387226322	16.70	0	2259
chr6	106938139	1708372610	15.98	0	2309
chr7	42362139	534885421	12.63	0	2780
chr8	34083018	432011603	12.68	0	1489
chr9	30848814	530702917	17.20	0	1122
chr10	28798323	405865242	14.09	0	933
chr11	28504944	444587167	15.60	0	1678
chr12	23795472	275429354	11.57	0	2091
chr13	19560250	349069966	17.85	0	252
chr14	16934482	191175102	11.29	0	799
chr15	16659334	186957086	11.22	0	2585
chrZ	171188827	1567980314	9.16	0	2880
scaffold_17	8602431	48285741	5.61	0	1378
scaffold_18	5896640	747343	0.13	0	251
scaffold_19	3578573	2131475	0.60	0	734
scaffold_20	3463715	3024673	0.87	0	560
scaffold_21	2653684	9276173	3.50	0	992
scaffold_22	2594236	7203538	2.78	0	837
scaffold_23	2401630	446815	0.19	0	109
scaffold_24	2227603	11577053	5.20	0	98
scaffold_25	2202738	1700013	0.77	0	732
scaffold_26	2177833	533893	0.25	0	369
scaffold_27	2141302	1302390	0.61	0	1127
scaffold_28	2117275	23985168	11.33	0	1003
scaffold_29	1993315	7876095	3.95	0	4371
scaffold_30	1963441	1535104	0.78	0	1696
scaffold_31	1903766	2436452	1.28	0	2546
scaffold_32	1891392	2628335	1.39	0	735
scaffold_33	1859776	1339055	0.72	0	414
scaffold_34	1787999	1579	0.00	0	3
scaffold_35	1751308	10647183	6.08	0	79
scaffold_36	1660000	3928591	2.37	0	2927
scaffold_37	1534483	10614101	6.92	0	1144
scaffold_38	1527826	23131731	15.14	0	1099
scaffold_39	1505925	10743166	7.13	0	85
scaffold_40	1478730	180879	0.12	0	88
scaffold_41	1436034	10842855	7.55	0	608
scaffold_42	1377455	10895668	7.91	0	48
scaffold_43	1343551	9925814	7.39	0	1297
scaffold_44	1304300	9467466	7.26	0	914
scaffold_45	1257125	4103836	3.26	0	1311
scaffold_46	1222163	404653	0.33	0	138
scaffold_47	1141902	2045713	1.79	0	533
scaffold_48	1095069	334265	0.31	0	1039
scaffold_49	1086189	4551680	4.19	0	269
scaffold_50	1081135	12509151	11.57	0	688
scaffold_51	998428	4211890	4.22	0	319
scaffold_52	990424	10761401	10.87	0	450
scaffold_53	984522	667900	0.68	0	1423
scaffold_54	970918	165888	0.17	0	126
scaffold_55	940026	19926117	21.20	0	1044
scaffold_56	934443	796170	0.85	0	283
scaffold_57	930907	5448403	5.85	0	427
scaffold_58	922701	8980359	9.73	0	355
scaffold_59	917863	1971192	2.15	0	55
scaffold_60	912060	1737681	1.91	0	403
scaffold_61	904647	1213251	1.34	0	143
scaffold_62	884248	6811023	7.70	0	63
scaffold_63	867928	291000	0.34	0	163
scaffold_64	841645	136513	0.16	0	149
scaffold_65	832083	191675	0.23	0	153
scaffold_66	826999	65799	0.08	0	40
scaffold_67	823448	14102554	17.13	0	314
scaffold_68	810612	798379	0.98	0	187
scaffold_69	793079	3075221	3.88	0	686
scaffold_70	782272	9743472	12.46	0	368
scaffold_71	766061	510073	0.67	0	224
scaffold_72	730958	508346	0.70	0	346
scaffold_73	720968	2045059	2.84	0	511
scaffold_74	694750	792332	1.14	0	345
scaffold_75	682876	192397	0.28	0	133
scaffold_76	675224	2634	0.00	0	8
scaffold_77	648781	7748090	11.94	0	834
scaffold_78	647957	4932865	7.61	0	57
scaffold_79	644743	1385401	2.15	0	466
scaffold_80	643888	370223	0.57	0	558
scaffold_81	641836	184154	0.29	0	169
scaffold_82	641623	80854	0.13	0	112
scaffold_83	632156	2513622	3.98	0	71
scaffold_84	618935	364533	0.59	0	188
scaffold_85	608512	4945123	8.13	0	579
scaffold_86	599561	207283	0.35	0	598
scaffold_87	597950	228048	0.38	0	61
scaffold_88	593645	7770007	13.09	0	74
scaffold_89	589793	75994	0.13	0	88
scaffold_90	587799	334912	0.57	0	330
scaffold_91	579954	4444692	7.66	0	60
scaffold_92	575435	37370	0.06	0	90
scaffold_93	574812	105325	0.18	0	108
scaffold_94	573203	248396	0.43	0	95
scaffold_95	571820	4427222	7.74	0	324
scaffold_96	569116	835312	1.47	0	384
scaffold_97	566767	3191137	5.63	0	64
scaffold_98	562264	132883	0.24	0	141
scaffold_99	552607	864841	1.57	0	42
scaffold_100	552600	222276	0.40	0	268
scaffold_101	551962	1620144	2.94	0	324
scaffold_102	538660	2834056	5.26	0	1203
scaffold_103	529121	162641	0.31	0	110
scaffold_104	524994	4182764	7.97	0	68
scaffold_105	510983	300	0.00	0	2
scaffold_106	487615	1886669	3.87	0	963
scaffold_107	486710	4255671	8.74	0	209
scaffold_108	477535	2499438	5.23	0	91
scaffold_109	476316	20311	0.04	0	44
scaffold_110	473572	4377	0.01	0	6
scaffold_111	472568	307194	0.65	0	288
scaffold_112	464128	113168	0.24	0	105
scaffold_113	434512	13918	0.03	0	29
scaffold_114	428327	226621	0.53	0	202
scaffold_115	426002	8348	0.02	0	23
scaffold_116	425001	903778	2.13	0	124
scaffold_117	421247	409315	0.97	0	227
scaffold_118	417582	56461	0.14	0	35
scaffold_119	414965	5841372	14.08	0	54
scaffold_120	412321	816259	1.98	0	594
scaffold_121	411527	2726425	6.63	0	42
scaffold_122	410311	3190	0.01	0	3
scaffold_123	408673	2630481	6.44	0	84
scaffold_124	403770	8980	0.02	0	14
scaffold_125	386874	30809	0.08	0	49
scaffold_126	386683	2913588	7.53	0	68
scaffold_127	384542	1048	0.00	0	4
scaffold_128	384535	6133667	15.95	0	414
scaffold_130	377893	3034454	8.03	0	75
scaffold_131	371774	5169060	13.90	0	114
scaffold_132	370701	1898	0.01	0	4
scaffold_133	369452	1526206	4.13	0	49
scaffold_134	369357	63565	0.17	0	41
scaffold_135	363025	14022	0.04	0	25
scaffold_136	362827	178381	0.49	0	99
scaffold_137	361309	227777	0.63	0	184
scaffold_138	361307	4199	0.01	0	8
scaffold_139	361075	2059885	5.70	0	48
scaffold_140	360845	1384	0.00	0	2
scaffold_141	355646	1716842	4.83	0	167
scaffold_142	354330	23963	0.07	0	20
scaffold_143	351123	161	0.00	0	1
scaffold_144	349397	1515519	4.34	0	205
scaffold_145	345615	48347	0.14	0	28
scaffold_146	341776	431588	1.26	0	330
scaffold_147	340558	57944	0.17	0	21
scaffold_148	340397	2476761	7.28	0	86
scaffold_149	338565	2173412	6.42	0	49
scaffold_150	331634	380276	1.15	0	124
scaffold_151	322426	856	0.00	0	4
scaffold_152	321929	9348	0.03	0	13
scaffold_153	319818	1197	0.00	0	4
scaffold_155	317673	200484	0.63	0	301
scaffold_156	317429	40566	0.13	0	79
scaffold_157	314480	6622	0.02	0	8
scaffold_158	313413	3604056	11.50	0	798
scaffold_159	312155	1752799	5.62	0	190
scaffold_160	308401	180545	0.59	0	60
scaffold_161	308107	1247520	4.05	0	54
scaffold_162	307127	443445	1.44	0	615
scaffold_163	306710	246609	0.80	0	383
scaffold_164	303353	139294	0.46	0	177
scaffold_165	301187	2331	0.01	0	12
scaffold_166	300284	2268608	7.55	0	48
scaffold_167	299327	76412	0.26	0	232
scaffold_168	298213	865	0.00	0	2
scaffold_169	297747	4068	0.01	0	8
scaffold_170	296823	1600427	5.39	0	45
scaffold_171	294268	1582	0.01	0	2
scaffold_172	292543	2725350	9.32	0	44
scaffold_173	292198	1182	0.00	0	2
scaffold_174	291683	17405	0.06	0	15
scaffold_175	289071	12478	0.04	0	31
scaffold_176	284263	4584912	16.13	0	1312
scaffold_179	273677	2316	0.01	0	5
scaffold_180	272495	20228	0.07	0	55
scaffold_181	272201	37740	0.14	0	48
scaffold_182	269380	2378835	8.83	0	46
scaffold_183	268932	7296	0.03	0	20
scaffold_184	265838	4295	0.02	0	6
scaffold_185	260123	300	0.00	0	2
scaffold_186	259862	300	0.00	0	2
scaffold_187	259766	267	0.00	0	2
scaffold_189	255803	1570095	6.14	0	40
scaffold_190	255030	57700	0.23	0	55
scaffold_191	254807	2540	0.01	0	14
scaffold_192	250226	40015	0.16	0	44
scaffold_193	250204	2548082	10.18	0	51
scaffold_194	239700	8397	0.04	0	17
scaffold_195	234697	69140	0.29	0	134
scaffold_196	226946	12608	0.06	0	18
scaffold_197	226579	1604508	7.08	0	53
scaffold_198	226175	1500	0.01	0	4
scaffold_199	225761	1628155	7.21	0	62
scaffold_200	225032	1515182	6.73	0	42
scaffold_201	224975	2553725	11.35	0	49
scaffold_202	223132	5016630	22.48	0	152
scaffold_203	220366	757488	3.44	0	55
scaffold_205	217326	16403	0.08	0	24
scaffold_206	215673	329819	1.53	0	360
scaffold_207	213671	1818	0.01	0	8
scaffold_208	211760	6923	0.03	0	8
scaffold_209	209908	1620905	7.72	0	43
scaffold_211	209284	308837	1.48	0	45
scaffold_212	207844	5398808	25.98	0	280
scaffold_213	203137	3429104	16.88	0	54
scaffold_214	202981	300	0.00	0	2
scaffold_215	202568	85507	0.42	0	115
scaffold_216	201849	589	0.00	0	3
scaffold_217	199481	55559	0.28	0	42
scaffold_218	198762	168877	0.85	0	48
scaffold_219	196943	2231136	11.33	0	53
scaffold_220	195249	2541703	13.02	0	207
scaffold_221	194561	300	0.00	0	2
scaffold_222	189271	583	0.00	0	3
scaffold_224	187788	332635	1.77	0	42
scaffold_225	186308	9341	0.05	0	15
scaffold_226	184860	1397997	7.56	0	210
scaffold_227	184516	4409	0.02	0	6
scaffold_228	183496	21046	0.11	0	52
scaffold_229	179276	37	0.00	0	1
scaffold_231	175432	422759	2.41	0	44
scaffold_232	173008	495554	2.86	0	217
scaffold_233	171644	7424	0.04	0	12
scaffold_234	170489	32	0.00	0	1
scaffold_237	164449	220	0.00	0	2
scaffold_238	162219	1284	0.01	0	8
scaffold_239	158967	1839830	11.57	0	133
scaffold_240	158773	1641	0.01	0	6
scaffold_243	158192	30794	0.19	0	42
scaffold_244	158152	53869	0.34	0	261
scaffold_246	156028	1233413	7.91	0	61
scaffold_247	155884	149929	0.96	0	465
scaffold_249	154259	1063893	6.90	0	42
scaffold_250	149453	183930	1.23	0	40
scaffold_251	147965	1992953	13.47	0	2758
scaffold_253	147505	643233	4.36	0	83
scaffold_254	146879	8941	0.06	0	19
scaffold_255	145848	5110	0.04	0	23
scaffold_256	145616	1058371	7.27	0	63
scaffold_259	144121	114	0.00	0	4
scaffold_260	143032	1500	0.01	0	5
scaffold_262	140610	6271	0.04	0	16
scaffold_264	138648	39514	0.28	0	30
scaffold_265	137912	889	0.01	0	6
scaffold_266	137645	276	0.00	0	2
scaffold_268	137109	293	0.00	0	2
scaffold_270	136931	522387	3.81	0	34
scaffold_271	136174	938403	6.89	0	44
scaffold_272	135704	114503	0.84	0	35
scaffold_273	135063	1220	0.01	0	8
scaffold_274	133653	14659	0.11	0	58
scaffold_276	133207	591	0.00	0	2
scaffold_277	132175	1030362	7.80	0	41
scaffold_278	131122	4943	0.04	0	7
scaffold_279	130948	101716	0.78	0	174
scaffold_280	130103	4741	0.04	0	26
scaffold_281	129669	9239	0.07	0	13
scaffold_283	127948	7316	0.06	0	12
scaffold_284	127938	667670	5.22	0	44
scaffold_285	126062	72884	0.58	0	322
scaffold_287	124276	109975	0.88	0	215
scaffold_288	123547	1194	0.01	0	7
scaffold_289	122028	302	0.00	0	1
scaffold_290	121544	988810	8.14	0	50
scaffold_291	120716	141954	1.18	0	760
scaffold_292	119073	24626	0.21	0	20
scaffold_293	119068	837984	7.04	0	35
scaffold_295	117175	486773	4.15	0	59
scaffold_297	115199	30757	0.27	0	90
scaffold_301	112761	329418	2.92	0	74
scaffold_305	108249	5229	0.05	0	4
scaffold_306	107642	1494	0.01	0	6
scaffold_312	102750	608254	5.92	0	31
scaffold_313	102258	397596	3.89	0	51
scaffold_315	101466	337	0.00	0	2
scaffold_316	101110	86	0.00	0	2
scaffold_317	100528	10169	0.10	0	28
scaffold_319	99952	298	0.00	0	1
scaffold_320	99843	896	0.01	0	4
scaffold_324	97239	71495	0.74	0	70
scaffold_326	95790	8549	0.09	0	20
scaffold_328	95082	789653	8.30	0	49
scaffold_330	94790	20173	0.21	0	29
scaffold_331	94754	314	0.00	0	1
scaffold_332	94453	62880	0.67	0	38
scaffold_333	93463	629230	6.73	0	44
scaffold_337	93133	1190106	12.78	0	46
scaffold_339	92259	60392	0.65	0	25
scaffold_340	92177	6982	0.08	0	16
scaffold_341	91879	6409	0.07	0	14
scaffold_342	91765	4014	0.04	0	5
scaffold_345	90701	2650	0.03	0	6
scaffold_346	90652	76	0.00	0	2
scaffold_347	90639	98168	1.08	0	26
scaffold_348	90541	2367	0.03	0	3
scaffold_350	89979	32651	0.36	0	69
scaffold_352	88711	30	0.00	0	1
scaffold_354	88009	8534	0.10	0	18
scaffold_357	87024	301	0.00	0	2
scaffold_359	85880	4499	0.05	0	19
scaffold_364	83286	4162	0.05	0	15
scaffold_367	81736	39	0.00	0	1
scaffold_370	81535	974	0.01	0	2
scaffold_376	80617	302	0.00	0	2
scaffold_377	80191	3541	0.04	0	7
scaffold_379	79556	9671	0.12	0	22
scaffold_383	78512	1174777	14.96	0	60
scaffold_384	78255	600	0.01	0	2
scaffold_386	77742	878978	11.31	0	63
scaffold_388	77429	304	0.00	0	2
scaffold_390	77018	1372	0.02	0	2
scaffold_392	76373	287	0.00	0	2
scaffold_395	76064	34	0.00	0	1
scaffold_396	75916	3422	0.05	0	6
scaffold_400	75097	1304975	17.38	0	52
scaffold_401	73974	3398	0.05	0	10
scaffold_404	73396	3708	0.05	0	12
scaffold_409	72103	2700	0.04	0	6
scaffold_414	70416	24759	0.35	0	32
scaffold_419	69319	569721	8.22	0	45
scaffold_420	68952	45818	0.66	0	112
scaffold_423	68700	1956	0.03	0	6
scaffold_424	68681	300	0.00	0	2
scaffold_427	67806	151474	2.23	0	64
scaffold_428	67661	1152	0.02	0	2
scaffold_438	65176	42636	0.65	0	54
scaffold_442	64944	300	0.00	0	2
scaffold_444	64676	102749	1.59	0	34
