chrom	length	bases	mean	min	max
chr1	434526931	6483264085	14.92	0	712
chr2	381225800	5296212252	13.89	0	432
chr3	268276564	3876296940	14.45	0	171
chr4	218045602	3177896105	14.57	0	245
chr5	142905876	2046886014	14.32	0	164
chr6	106938139	1466528809	13.71	0	221
chr7	42362139	438043110	10.34	0	251
chr8	34083018	352916044	10.35	0	281
chr9	30848814	426613958	13.83	0	330
chr10	28798323	328227551	11.40	0	79
chr11	28504944	360992774	12.66	0	184
chr12	23795472	222478285	9.35	0	126
chr13	19560250	274308752	14.02	0	122
chr14	16934482	148853053	8.79	0	149
chr15	16659334	145199892	8.72	0	260
chrZ	171188827	1243968341	7.27	0	1088
scaffold_17	8602431	40221717	4.68	0	81
scaffold_18	5896640	2954927	0.50	0	75
scaffold_19	3578573	3790670	1.06	0	66
scaffold_20	3463715	2682326	0.77	0	62
scaffold_21	2653684	5329558	2.01	0	64
scaffold_22	2594236	4573106	1.76	0	80
scaffold_23	2401630	3817171	1.59	0	73
scaffold_24	2227603	9768294	4.39	0	35
scaffold_25	2202738	2212842	1.00	0	47
scaffold_26	2177833	537034	0.25	0	176
scaffold_27	2141302	1154799	0.54	0	78
scaffold_28	2117275	8083662	3.82	0	54
scaffold_29	1993315	4846143	2.43	0	194
scaffold_30	1963441	146341	0.07	0	38
scaffold_31	1903766	5067786	2.66	0	90
scaffold_32	1891392	6156197	3.25	0	94
scaffold_33	1859776	733925	0.39	0	83
scaffold_34	1787999	16363	0.01	0	6
scaffold_35	1751308	8144561	4.65	0	289
scaffold_36	1660000	2748046	1.66	0	56
scaffold_37	1534483	6067108	3.95	0	56
scaffold_38	1527826	6523000	4.27	0	69
scaffold_39	1505925	9874484	6.56	0	35
scaffold_40	1478730	1086749	0.73	0	51
scaffold_41	1436034	8823002	6.14	0	49
scaffold_42	1377455	8252140	5.99	0	39
scaffold_43	1343551	7573177	5.64	0	26
scaffold_44	1304300	8509592	6.52	0	96
scaffold_45	1257125	2825796	2.25	0	41
scaffold_46	1222163	2030348	1.66	0	134
scaffold_47	1141902	2062063	1.81	0	83
scaffold_48	1095069	235731	0.22	0	28
scaffold_49	1086189	4323420	3.98	0	31
scaffold_50	1081135	5854402	5.42	0	50
scaffold_51	998428	3794188	3.80	0	36
scaffold_52	990424	8074374	8.15	0	98
scaffold_53	984522	441600	0.45	0	52
scaffold_54	970918	1028059	1.06	0	49
scaffold_55	940026	4795339	5.10	0	40
scaffold_56	934443	464990	0.50	0	26
scaffold_57	930907	8975464	9.64	0	56
scaffold_58	922701	4390097	4.76	0	67
scaffold_59	917863	1597379	1.74	0	26
scaffold_60	912060	227815	0.25	0	39
scaffold_61	904647	1255825	1.39	0	97
scaffold_62	884248	5310349	6.01	0	36
scaffold_63	867928	726466	0.84	0	41
scaffold_64	841645	811076	0.96	0	96
scaffold_65	832083	600487	0.72	0	39
scaffold_66	826999	447394	0.54	0	48
scaffold_67	823448	11477264	13.94	0	40
scaffold_68	810612	1486662	1.83	0	58
scaffold_69	793079	2621988	3.31	0	68
scaffold_70	782272	8406875	10.75	0	45
scaffold_71	766061	675582	0.88	0	48
scaffold_72	730958	476827	0.65	0	58
scaffold_73	720968	1615883	2.24	0	70
scaffold_74	694750	1576760	2.27	0	43
scaffold_75	682876	538535	0.79	0	44
scaffold_76	675224	66911	0.10	0	18
scaffold_77	648781	1810824	2.79	0	55
scaffold_78	647957	4212438	6.50	0	26
scaffold_79	644743	2081146	3.23	0	40
scaffold_80	643888	409333	0.64	0	59
scaffold_81	641836	325560	0.51	0	29
scaffold_82	641623	551451	0.86	0	37
scaffold_83	632156	2516891	3.98	0	29
scaffold_84	618935	25093	0.04	0	76
scaffold_85	608512	2233724	3.67	0	46
scaffold_86	599561	200698	0.33	0	49
scaffold_87	597950	139495	0.23	0	39
scaffold_88	593645	6575223	11.08	0	69
scaffold_89	589793	613462	1.04	0	69
scaffold_90	587799	392498	0.67	0	47
scaffold_91	579954	3541358	6.11	0	26
scaffold_92	575435	61459	0.11	0	20
scaffold_93	574812	246270	0.43	0	37
scaffold_94	573203	964803	1.68	0	41
scaffold_95	571820	3147730	5.50	0	69
scaffold_96	569116	953800	1.68	0	112
scaffold_97	566767	2496790	4.41	0	52
scaffold_98	562264	308207	0.55	0	43
scaffold_99	552607	916014	1.66	0	57
scaffold_100	552600	477791	0.86	0	39
scaffold_101	551962	1498863	2.72	0	22
scaffold_102	538660	2165544	4.02	0	38
scaffold_103	529121	617755	1.17	0	48
scaffold_104	524994	3491665	6.65	0	25
scaffold_105	510983	596	0.00	0	2
scaffold_106	487615	1091185	2.24	0	33
scaffold_107	486710	3168586	6.51	0	44
scaffold_108	477535	2510257	5.26	0	26
scaffold_109	476316	76077	0.16	0	16
scaffold_110	473572	1134	0.00	0	4
scaffold_111	472568	630076	1.33	0	28
scaffold_112	464128	33661	0.07	0	13
scaffold_113	434512	26371	0.06	0	21
scaffold_114	428327	63463	0.15	0	18
scaffold_115	426002	17581	0.04	0	14
scaffold_116	425001	3047545	7.17	0	48
scaffold_117	421247	469639	1.11	0	56
scaffold_118	417582	308708	0.74	0	40
scaffold_119	414965	4467359	10.77	0	48
scaffold_120	412321	468539	1.14	0	35
scaffold_121	411527	2143752	5.21	0	27
scaffold_122	410311	3279	0.01	0	6
scaffold_123	408673	4175089	10.22	0	37
scaffold_124	403770	22972	0.06	0	23
scaffold_125	386874	301658	0.78	0	161
scaffold_126	386683	2264387	5.86	0	21
scaffold_127	384542	25679	0.07	0	9
scaffold_128	384535	4711659	12.25	0	103
scaffold_130	377893	2499819	6.62	0	35
scaffold_131	371774	4077099	10.97	0	64
scaffold_132	370701	205002	0.55	0	43
scaffold_133	369452	1656013	4.48	0	45
scaffold_134	369357	1445928	3.91	0	42
scaffold_135	363025	27730	0.08	0	10
scaffold_136	362827	297928	0.82	0	27
scaffold_137	361309	324317	0.90	0	54
scaffold_138	361307	12235	0.03	0	11
scaffold_139	361075	1597108	4.42	0	24
scaffold_140	360845	53259	0.15	0	14
scaffold_141	355646	1841567	5.18	0	68
scaffold_142	354330	79604	0.22	0	28
scaffold_143	351123	3215	0.01	0	3
scaffold_144	349397	972093	2.78	0	42
scaffold_145	345615	117715	0.34	0	24
scaffold_146	341776	271666	0.79	0	81
scaffold_147	340558	320061	0.94	0	50
scaffold_148	340397	1846642	5.42	0	43
scaffold_149	338565	1920819	5.67	0	24
scaffold_150	331634	1068303	3.22	0	62
scaffold_151	322426	2223	0.01	0	2
scaffold_152	321929	59799	0.19	0	21
scaffold_153	319818	10801	0.03	0	8
