chrom	length	bases	mean	min	max
chr1	434526931	11390401739	26.21	0	1328
chr2	381225800	9477695290	24.86	0	4977
chr3	268276564	6781463465	25.28	0	2671
chr4	218045602	5641474860	25.87	0	3564
chr5	142905876	3623056920	25.35	0	1882
chr6	106938139	2590046545	24.22	0	4614
chr7	42362139	790229096	18.65	0	1131
chr8	34083018	641333590	18.82	0	468
chr9	30848814	778703818	25.24	0	1974
chr10	28798323	599268342	20.81	0	252
chr11	28504944	666884991	23.40	0	933
chr12	23795472	415065142	17.44	0	2953
chr13	19560250	507124849	25.93	0	214
chr14	16934482	272073742	16.07	0	519
chr15	16659334	317458666	19.06	0	1013
chrZ	171188827	4290298429	25.06	0	3302
scaffold_17	8602431	14606913	1.70	0	822
scaffold_18	5896640	1058971	0.18	0	339
scaffold_19	3578573	10509858	2.94	0	925
scaffold_20	3463715	2428494	0.70	0	430
scaffold_21	2653684	6172795	2.33	0	872
scaffold_22	2594236	3052584	1.18	0	437
scaffold_23	2401630	1058775	0.44	0	325
scaffold_24	2227603	2180705	0.98	0	135
scaffold_25	2202738	2290684	1.04	0	449
scaffold_26	2177833	1158921	0.53	0	1126
scaffold_27	2141302	678972	0.32	0	451
scaffold_28	2117275	9456640	4.47	0	529
scaffold_29	1993315	2085183	1.05	0	1265
scaffold_30	1963441	1567632	0.80	0	357
scaffold_31	1903766	3648281	1.92	0	558
scaffold_32	1891392	4201597	2.22	0	666
scaffold_33	1859776	940382	0.51	0	190
scaffold_34	1787999	327	0.00	0	2
scaffold_35	1751308	30705045	17.53	0	337
scaffold_36	1660000	3089701	1.86	0	270
scaffold_37	1534483	5846556	3.81	0	455
scaffold_38	1527826	8013291	5.24	0	386
scaffold_39	1505925	2124800	1.41	0	80
scaffold_40	1478730	137535	0.09	0	182
scaffold_41	1436034	2077761	1.45	0	199
scaffold_42	1377455	31325272	22.74	0	184
scaffold_43	1343551	896048	0.67	0	71
scaffold_44	1304300	8911999	6.83	0	463
scaffold_45	1257125	2399486	1.91	0	776
scaffold_46	1222163	2258472	1.85	0	579
scaffold_47	1141902	1057523	0.93	0	178
scaffold_48	1095069	112414	0.10	0	47
scaffold_49	1086189	860295	0.79	0	80
scaffold_50	1081135	2380325	2.20	0	231
scaffold_51	998428	608981	0.61	0	142
scaffold_52	990424	13826530	13.96	0	218
scaffold_53	984522	391675	0.40	0	311
scaffold_54	970918	200979	0.21	0	283
scaffold_55	940026	4563669	4.85	0	617
scaffold_56	934443	455512	0.49	0	224
scaffold_57	930907	614159	0.66	0	67
scaffold_58	922701	7108691	7.70	0	502
