classification,chromosome,region_start,region_end,transcript,gene_uniprot,gene_eggnog,description_uniprot,saccver,Tissue specificity
high_div,chr1,398000000,399200000,FUN_004606,,,,,
high_div,chr1,398000000,399200000,FUN_004607,,,,,
high_div,chr1,398000000,399200000,FUN_004608,,,,,
high_div,chr1,398000000,399200000,FUN_004609,,,,,
high_div,chr1,398000000,399200000,FUN_004610,BCL11A,BCL11A,B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856),Q9H165,"TISSUE SPECIFICITY: Expressed at high levels in brain, spleen thymus, bone marrow and testis. Expressed in CD34-positive myeloid precursor cells, B-cells, monocytes and megakaryocytes. Expression is tightly regulated during B-cell development. {ECO:0000269|PubMed:11161790, ECO:0000269|PubMed:11719382}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in fetal and adult brain, and in the plasmacytoid dendritic cell. {ECO:0000269|PubMed:16704730}."
high_div,chr1,398000000,399200000,FUN_004611,,,,,
high_div,chr1,398000000,399200000,FUN_004612,,,,,
high_div,chr1,398000000,399200000,FUN_004613,,,,,
high_div,chr1,398000000,399200000,FUN_004614,PAPOLG,PAPOLG,Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme),Q6PCL9,
high_div,chr1,398000000,399200000,FUN_004615,REL,REL,Proto-oncogene c-Rel (p68),P16236,
high_div,chr1,398000000,399200000,FUN_004616,PUS10,PUS10,tRNA pseudouridine synthase Pus10 (Hup10) (EC 5.4.99.25) (Coiled-coil domain-containing protein 139) (tRNA pseudouridine 55 synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase),Q3MIT2,
high_div,chr1,398000000,399200000,FUN_004617,PEX13,PEX13,Peroxisomal membrane protein PEX13 (Peroxin-13),Q92968,
high_div,chr1,398000000,399200000,FUN_004618,SANBR,KIAA1841,SANT and BTB domain regulator of class switch recombination (SANT and BTB domain regulator of CSR),Q6NSI8,
high_div,chr1,398000000,399200000,FUN_004619,,,,,
high_div,chr1,398000000,399200000,FUN_004620,USP34,USP34,Ubiquitin carboxyl-terminal hydrolase 34 (EC 3.4.19.12) (Deubiquitinating enzyme 34) (Ubiquitin thioesterase 34) (Ubiquitin-specific-processing protease 34),Q70CQ2,TISSUE SPECIFICITY: Expressed in brain at low level. {ECO:0000269|PubMed:14715245}.
high_div,chr1,398000000,399200000,FUN_004626,,,,,
high_div,chr1,398000000,399200000,FUN_004627,XPO1,XPO1,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),Q6P5F9,
high_div,chr1,398000000,399200000,FUN_004628,,,,,
high_div,chr1,398000000,399200000,FUN_004629,CTS-P2,,Crotasin,Q6HAA2,"TISSUE SPECIFICITY: Highly expressed in pancreas, heart, liver, brain and kidney. Expressed to a low extent in the venom gland. {ECO:0000269|PubMed:15284009}."
high_div,chr1,398000000,399200000,FUN_004630,NHLH2,NHLH2,Helix-loop-helix protein 2 (HEN-2) (Class A basic helix-loop-helix protein 34) (bHLHa34) (Nescient helix loop helix 2) (NSCL-2),Q02577,
high_div,chr1,398000000,399200000,FUN_004631,CTS-P2,,Crotasin,Q6HAA2,"TISSUE SPECIFICITY: Highly expressed in pancreas, heart, liver, brain and kidney. Expressed to a low extent in the venom gland. {ECO:0000269|PubMed:15284009}."
high_div,chr1,398000000,399200000,FUN_004606,,,,,
high_div,chr1,398000000,399200000,FUN_004607,,,,,
high_div,chr1,398000000,399200000,FUN_004608,,,,,
high_div,chr1,398000000,399200000,FUN_004609,,,,,
