chrom	length	bases	mean	min	max
chr1	434526931	8153327623	18.76	0	1015
chr2	381225800	6813587071	17.87	0	4380
chr3	268276564	4840107450	18.04	0	2378
chr4	218045602	4033917556	18.50	0	3029
chr5	142905876	2584831060	18.09	0	1311
chr6	106938139	1853489086	17.33	0	2522
chr7	42362139	569944136	13.45	0	1018
chr8	34083018	499154849	14.65	0	1190
chr9	30848814	562142134	18.22	0	1662
chr10	28798323	434628461	15.09	0	6944
chr11	28504944	484867036	17.01	0	935
chr12	23795472	351645688	14.78	0	2370
chr13	19560250	364263734	18.62	0	437
chr14	16934482	199785445	11.80	0	774
chr15	16659334	231453682	13.89	0	1048
chrZ	171188827	3112531505	18.18	0	1490
total	1964654515	35089676516	17.86	0	6944
