chrom	length	bases	mean	min	max
chr1	434526931	5932038786	13.65	0	435
chr2	381225800	4906997864	12.87	0	702
chr3	268276564	3540518612	13.20	0	446
chr4	218045602	2914813896	13.37	0	927
chr5	142905876	1870088029	13.09	0	386
chr6	106938139	1347913448	12.60	0	2266
chr7	42362139	413816933	9.77	0	317
chr8	34083018	361820584	10.62	0	1075
chr9	30848814	398381054	12.91	0	485
chr10	28798323	307283862	10.67	0	1137
chr11	28504944	333216601	11.69	0	137
chr12	23795472	219169887	9.21	0	470
chr13	19560250	256499897	13.11	0	1785
chr14	16934482	142806214	8.43	0	162
chr15	16659334	152545115	9.16	0	394
chrZ	171188827	2276895011	13.30	0	1156
total	1964654515	25374805793	12.92	0	2266
