chrom	length	bases	mean	min	max
chr1	434526931	11424171857	26.29	0	1328
chr2	381225800	9550446156	25.05	0	4986
chr3	268276564	6799336122	25.34	0	2669
chr4	218045602	5667943129	25.99	0	3720
chr5	142905876	3635586348	25.44	0	1880
chr6	106938139	2606854428	24.38	0	4620
chr7	42362139	799808698	18.88	0	1436
chr8	34083018	726128212	21.30	0	2092
chr9	30848814	782539291	25.37	0	1975
chr10	28798323	610041269	21.18	0	7746
chr11	28504944	679453227	23.84	0	1169
chr12	23795472	495703855	20.83	0	2953
chr13	19560250	508014991	25.97	0	492
chr14	16934482	274990542	16.24	0	1184
chr15	16659334	354314250	21.27	0	1674
chrZ	171188827	4375020200	25.56	0	3311
total	1964654515	49290352575	25.09	0	7746
