chrom	length	bases	mean	min	max
chr1	434526931	7306512655	16.81	0	4034
chr2	381225800	5948692839	15.60	0	4396
chr3	268276564	4315946333	16.09	0	2334
chr4	218045602	3622449984	16.61	0	4122
chr5	142905876	2301314510	16.10	0	1973
chr6	106938139	1659272239	15.52	0	5003
chr7	42362139	538710356	12.72	0	2799
chr8	34083018	535402741	15.71	0	2760
chr9	30848814	517757367	16.78	0	1306
chr10	28798323	401037191	13.93	0	1418
chr11	28504944	438439312	15.38	0	3769
chr12	23795472	321058329	13.49	0	3556
chr13	19560250	338074504	17.28	0	635
chr14	16934482	188507292	11.13	0	833
chr15	16659334	203066495	12.19	0	2451
chrZ	171188827	1649460822	9.64	0	3028
total	1964654515	30285702969	15.42	0	5003
